"","component","rt","mz","intensity","intensity_rel","group","isogroup","isonr","charge","adduct_ion","ppm"
"1","CMP1",17.8036747558592,149.05,172612.618094128,8.12738777499384,"M149_R1068_139",NA,NA,NA,NA,NA
"2","CMP2",19.4989013671875,147.05,741721.739043592,25.3431494381883,"M147_R1170_134",1,0,1,NA,NA
"3","CMP2",19.492633333333,148.05,146474.872024772,5.00475363638375,"M148_R1170_137",1,1,1,NA,NA
"4","CMP2",19.4926350911458,160.02,20063.6515274808,0.68553487402477,"M160_R1170_147",NA,NA,NA,NA,NA
"5","CMP2",19.4989013671875,169.04,18395.8255262776,0.628548592835423,"M169_R1170_151",NA,NA,NA,NA,NA
"6","CMP2",19.492633333333,171.06,120494.693441417,4.11706285747012,"M171_R1170_153",NA,NA,NA,NA,NA
"7","CMP2",19.5051513671875,368.13,192063.170655921,6.56241468907411,"M368_R1170_206",NA,NA,NA,NA,NA
"8","CMP2",19.4926350911458,425.124444067713,25572.0920744272,0.873747278494195,"M425_R1170_212",NA,NA,NA,NA,NA
"9","CMP2",19.4989,456.207803973727,2926714.93277757,100,"M456_R1170_222",NA,NA,NA,"[M+H]+",NA
"10","CMP2",19.5051513671875,460.179284965847,36038.1465495546,1.23135144273696,"M460_R1170_224",NA,NA,NA,NA,NA
"11","CMP3",15.6017751505532,74.02,1119753.21391489,100,"M74_R936_33",NA,NA,NA,NA,NA
"12","CMP4",21.6512793375651,87.025,1153882.63085381,100,"M87_R1299_62",NA,NA,NA,"[M+H]+",NA
"13","CMP5",9.702933333333,70.06,13459.6360704616,0.768934805136618,"M70_R582_24",NA,NA,NA,NA,NA
"14","CMP5",9.70920003255208,73.08,1750426.17144508,100,"M73_R583_30",NA,NA,NA,"[M+H]+",NA
"15","CMP5",9.7092,75.06,194753.333533461,11.1260524271459,"M75_R583_48",NA,NA,NA,NA,NA
"16","CMP5",9.690433333333,88.99,28595.5571770784,1.63363400545315,"M89_R581_65",NA,NA,NA,NA,NA
"17","CMP5",9.7092,164.97,72166.9780835556,4.12282330216633,"M165_R583_149",NA,NA,NA,NA,NA
"18","CMP5",9.702933333333,181.97,24448.4827697436,1.39671602085108,"M182_R582_161",NA,NA,NA,NA,NA
"19","CMP5",9.696683333333,208.03,149521.544484735,8.54200805060494,"M208_R582_175",NA,NA,NA,NA,NA
"20","CMP5",9.690433333333,209.02,115304.230546956,6.58720901389205,"M209_R581_176",NA,NA,NA,NA,NA
"21","CMP6",9.42769978841146,68.99,32400.9652618413,2.48865242151551,"M69_R566_20",NA,NA,NA,NA,NA
"22","CMP6",9.408933333333,71,50019.3871926203,3.84188767382921,"M71_R565_25",NA,NA,NA,NA,NA
"23","CMP6",9.41831656087223,74.03,252033.261473579,19.358163604075,"M74_R565_42",NA,NA,NA,NA,NA
"24","CMP6",9.40893351236979,99.02,99293.4071208357,7.62652519993939,"M99_R565_77",NA,NA,NA,NA,NA
"25","CMP6",9.42145,130.03,204293.087722023,15.6913376916291,"M130_R565_114",NA,NA,NA,NA,NA
"26","CMP6",9.44646606445312,174.03,17558.1354115239,1.3486047670514,"M174_R567_154",NA,NA,NA,NA,NA
"27","CMP6",9.40268351236979,189.07,1301948.19420022,100,"M189_R564_164",NA,NA,NA,"[M+H]+",NA
"28","CMP7",24.578283333333,210.1,64853.1793636421,6.10040224762278,"M210_R1475_177",NA,NA,NA,"[M+H-HCOOH-HCOOH]+",11.8621275582966
"29","CMP7",24.584533333333,227.1,18869.351399002,1.77494202774874,"M227_R1475_187",NA,NA,NA,NA,NA
"30","CMP7",24.5782836914062,319.14,1063096.77183852,100,"M319_R1475_200",NA,NA,NA,"[M+NH4]+",NA
"31","CMP7",24.5845336914062,510.25430825649,11289.8384214289,1.06197655006555,"M510_R1475_227",NA,NA,NA,NA,NA
"32","CMP7",24.5845336914062,539.271433231743,23400.4816410161,2.20116195071755,"M539_R1475_231",NA,NA,NA,NA,NA
"33","CMP8",20.562316666667,60,12278.3141495931,4.75413821503837,"M60_R1234_17",NA,NA,NA,NA,NA
"34","CMP8",20.5623168945312,86,11205.3836653363,4.33870171820841,"M86_R1234_57",NA,NA,NA,NA,NA
"35","CMP8",20.562316666667,137.05,15615.2899791291,6.04620845534756,"M137_R1234_124",NA,NA,NA,NA,NA
"36","CMP8",20.562316666667,142.05,258265.822199996,100,"M142_R1234_127",NA,NA,NA,"[M+H]+",NA
"37","CMP8",20.568566666667,268.11,176355.327073597,68.2844232238485,"M268_R1234_193",NA,NA,NA,NA,NA
"38","CMP9",13.3560994466146,89.02,41085.9829209623,5.06205448175518,"M89_R801_66",NA,NA,NA,NA,NA
"39","CMP9",13.3560994466146,102.02,125807.972796469,15.5003426292614,"M102_R801_83",NA,NA,NA,NA,NA
"40","CMP9",13.3623494466146,118.02,42792.8770017814,5.27235469164217,"M118_R802_105",NA,NA,NA,NA,NA
"41","CMP9",13.349833333333,220.09,811646.399086493,100,"M220_R801_184",NA,NA,NA,"[M+H]+",NA
"42","CMP9",13.3560994466146,245.08,69206.5805881626,8.52669101545383,"M245_R801_190",NA,NA,NA,NA,NA
"43","CMP10",22.87055,83.03,36042.2334388993,38.8636705464976,"M83_R1372_54",NA,NA,NA,"[M+H-H2O]+",6.80115620840644
"44","CMP10",22.8643005371094,90.04,17344.6922099109,18.7024592945693,"M90_R1372_67",NA,NA,NA,NA,NA
"45","CMP10",22.87055,101.04,92740.1682138524,100,"M101_R1372_81",NA,NA,NA,"[M+H]+",NA
"46","CMP10",22.8705505371094,201.06,10098.1921905015,10.8886929849165,"M201_R1372_169",NA,NA,NA,NA,NA
"47","CMP11",18.504283333333,134,14524.4524963115,20.4763788911006,"M134_R1110_120",NA,NA,NA,NA,NA
"48","CMP11",18.510533333333,206.1,70932.7199577465,100,"M206_R1111_172",NA,NA,NA,"[M+H]+",NA
"49","CMP11",18.498033333333,435.158553296833,38898.4355334257,54.8384942190245,"M435_R1110_216",1,0,1,NA,NA
"50","CMP11",18.5042846679688,436.162207701633,18819.293700566,26.5311885851499,"M436_R1110_217",1,1,1,NA,NA
"51","CMP12",16.1710113525391,74.04,109995.468867326,100,"M74_R970_43",NA,NA,NA,"[M+H]+",NA
"52","CMP12",16.1710113525391,134.04,52554.2501584317,47.7785591530331,"M134_R970_122",NA,NA,NA,NA,NA
"53","CMP12",16.1960459391276,174.08,27837.6042607844,25.3079554525662,"M174_R972_155",NA,NA,NA,NA,NA
"54","CMP12",16.1710113525391,190.06,14643.1142963151,13.312470456376,"M190_R970_166",NA,NA,NA,NA,NA
"55","CMP13",16.9216664632161,51.02,179258.2718353,8.40526530147286,"M51_R1015_1",NA,NA,NA,NA,NA
"56","CMP13",16.921666666667,76.03,92661.5348463306,4.34481921336757,"M76_R1015_49",NA,NA,NA,NA,NA
"57","CMP13",16.9216665649416,77.03,1018684.19488466,47.7652206994929,"M77_R1015_51",1,0,1,NA,NA
"58","CMP13",16.9216664632161,105.02,2132690.22934813,100,"M105_R1015_90",NA,NA,NA,"[M+H]+",NA
"59","CMP14",16.7716389973958,94.13,77831.5895477935,6.80152921696652,"M94_R1006_69",NA,NA,NA,NA,NA
"60","CMP14",16.7653366088867,119.02,1144324.8579105,100,"M119_R1006_109",NA,NA,NA,"[M+H]+",NA
"61","CMP14",16.7779164632161,132.04,1123516.6704142,98.1816188512851,"M132_R1007_117",NA,NA,NA,NA,NA
"62","CMP14",16.7527842203776,327.39,16514.6365683757,1.44317729831814,"M327_R1005_202",NA,NA,NA,NA,NA
"63","CMP15",13.762700398763,55.01,985555.040633275,100,"M55_R826_3",NA,NA,NA,"[M+H]+",NA
"64","CMP16",9.67791646321615,119,96688.3860093248,82.3722377863094,"M119_R581_107",NA,NA,NA,NA,NA
"65","CMP16",9.65915018717448,132.04,21433.6016097162,18.2600393002971,"M132_R580_116",NA,NA,NA,NA,NA
"66","CMP16",9.65290018717448,134.98,117379.821900862,100,"M135_R579_123",NA,NA,NA,"[M+H]+",NA
"67","CMP16",9.65915018717448,166.93,32668.1638636429,27.8311581450806,"M167_R580_150",NA,NA,NA,NA,NA
"68","CMP17",24.9348327636719,69.06,296984.543484402,23.5038602401968,"M69_R1496_22",NA,NA,NA,NA,NA
"69","CMP17",24.9411193847656,74.02,1263556.4560433,100,"M74_R1496_34",NA,NA,NA,"[M+H]+",NA
"70","CMP17",24.9348327636719,144.09,41760.8769739338,3.30502659965854,"M144_R1496_130",NA,NA,NA,NA,NA
"71","CMP18",19.8148022542318,69.05,231622.585735584,19.8268011898071,"M69_R1189_21",NA,NA,NA,NA,NA
"72","CMP18",19.8179361979167,87.025,1168229.72862945,100,"M87_R1189_63",NA,NA,NA,"[M+H]+",NA
